Feature name,Standard gene name,# of PTMs
YLR002C,NOC3,3.0
YLR003C,CMS1,2.0
YLR009W,RLP24,9.0
YLR017W,MEU1,2.0
YLR029C,RPL15A,13.0
YLR044C,PDC1,38.0
YLR051C,FCF2,2.0
YLR060W,FRS1,13.0
YLR061W,RPL22A,6.0
YLR063W,BMT6,1.0
YLR075W,RPL10,15.0
YLR083C,EMP70,1.0
YLR129W,DIP2,1.0
YLR134W,PDC5,1.0
YLR146C,SPE4,1.0
YLR150W,STM1,23.0
YLR167W,RPS31,20.0
YLR172C,DPH5,4.0
YLR175W,CBF5,23.0
YLR183C,TOS4,15.0
YLR185W,RPL37A,11.0
YLR196W,PWP1,9.0
YLR197W,NOP56,9.0
YLR221C,RSA3,5.0
YLR222C,UTP13,2.0
YLR249W,YEF3,58.0
YLR264W,RPS28B,6.0
YLR291C,GCD7,1.0
YLR293C,GSP1,5.0
YLR325C,RPL38,7.0
YLR336C,SGD1,6.0
YLR340W,RPP0,13.0
YLR372W,ELO3,2.0
YLR388W,RPS29A,5.0
YLR401C,DUS3,4.0
YLR405W,DUS4,2.0
YLR409C,UTP21,3.0
YLR412W,BER1,3.0
YLR413W,INA1,7.0
YLR432W,IMD3,7.0
YLR433C,CNA1,2.0
YLR435W,TSR2,1.0
YLR441C,RPS1A,26.0
YLR447C,VMA6,1.0
YLR448W,RPL6B,16.0
YLR449W,FPR4,5.0
YML106W,URA5,5.0
YML093W,UTP14,16.0
YML082W,-,1.0
YML080W,DUS1,1.0
YML073C,RPL6A,10.0
YML063W,RPS1B,12.0
YML056C,IMD4,7.0
YML043C,RRN11,1.0
YML026C,RPS18B,1.0
YML022W,APT1,1.0
YML018C,-,3.0
YMR014W,BUD22,11.0
YMR049C,ERB1,11.0
YMR079W,SEC14,7.0
YMR093W,UTP15,2.0
YMR116C,ASC1,21.0
YMR128W,ECM16,4.0
YMR131C,RRB1,5.0
YMR142C,RPL13B,8.0
YMR146C,TIF34,3.0
YMR194W,RPL36A,6.0
YMR212C,EFR3,30.0
YMR215W,GAS3,1.0
YMR217W,GUA1,5.0
YMR229C,RRP5,15.0
YMR230W,RPS10B,12.0
YMR235C,RNA1,1.0
YMR239C,RNT1,1.0
YMR242C,RPL20A,17.0
YMR243C,ZRC1,9.0
YMR277W,FCP1,7.0
YMR290C,HAS1,6.0
YMR307W,GAS1,5.0
YMR309C,NIP1,9.0
YMR310C,-,1.0
YNL313C,EMW1,1.0
YNL308C,KRI1,7.0
YNL302C,RPS19B,10.0
YNL301C,RPL18B,9.0
YNL299W,TRF5,3.0
YNL292W,PUS4,1.0
YNL256W,FOL1,5.0
YNL255C,GIS2,7.0
YNL248C,RPA49,5.0
YNL247W,-,4.0
YNL227C,JJJ1,3.0
YNL209W,SSB2,6.0
YNL186W,UBP10,5.0
YNL182C,IPI3,1.0
YNL178W,RPS3,17.0
YNL175C,NOP13,15.0
YNL163C,RIA1,2.0
YNL153C,GIM3,1.0
YNL151C,RPC31,2.0
YNL141W,AAH1,1.0
YNL132W,KRE33,6.0
YNL124W,NAF1,1.0
YNL119W,NCS2,4.0
YNL113W,RPC19,5.0
YNL102W,POL1,25.0
YNL096C,RPS7B,21.0
YNL075W,IMP4,2.0
YNL069C,RPL16B,14.0
YNL067W,RPL9B,1.0
YNL062C,GCD10,4.0
YNL061W,NOP2,7.0
YNL010W,-,4.0
YNL002C,RLP7,3.0
YNR009W,NRM1,6.0
YNR024W,MPP6,7.0
YNR043W,MVD1,2.0
YNR053C,NOG2,4.0
YNR054C,ESF2,9.0
YOL127W,RPL25,6.0
YOL121C,RPS19A,1.0
YOL120C,RPL18A,2.0
YOL097C,WRS1,5.0
YOL077C,BRX1,2.0
YOL041C,NOP12,8.0
YOL040C,RPS15,9.0
YOL039W,RPP2A,10.0
YOL022C,TSR4,7.0
YOR001W,RRP6,9.0
YOR004W,UTP23,3.0
YOR021C,SFM1,3.0
YOR063W,RPL3,43.0
YOR095C,RKI1,1.0
YOR096W,RPS7A,12.0
YOR145C,PNO1,6.0
YOR167C,RPS28A,1.0
YOR168W,GLN4,5.0
YOR188W,MSB1,16.0
YOR206W,NOC2,9.0
YOR209C,NPT1,5.0
YOR210W,RPB10,2.0
YOR217W,RFC1,9.0
YOR224C,RPB8,2.0
YOR233W,KIN4,30.0
YOR234C,RPL33B,5.0
YOR243C,PUS7,2.0
YOR253W,NAT5,2.0
YOR260W,GCD1,5.0
YOR272W,YTM1,2.0
YOR276W,CAF20,11.0
YOR287C,RRP36,3.0
YOR293W,RPS10A,4.0
YOR310C,NOP58,5.0
YOR361C,PRT1,9.0
YOR369C,RPS12,7.0
YPL273W,SAM4,3.0
YPL266W,DIM1,1.0
YPL263C,KEL3,4.0
YPL237W,SUI3,17.0
YPL235W,RVB2,3.0
YPL226W,NEW1,25.0
YPL220W,RPL1A,1.0
YPL217C,BMS1,15.0
YPL212C,PUS1,5.0
YPL211W,NIP7,1.0
YPL207W,TYW1,10.0
YPL198W,RPL7B,5.0
YPL183C,RTT10,1.0
YPL160W,CDC60,15.0
YPL146C,NOP53,2.0
YPL143W,RPL33A,3.0
YPL086C,ELP3,3.0
YPL081W,RPS9A,4.0
YPL079W,RPL21B,10.0
YPL043W,NOP4,9.0
YPL037C,EGD1,1.0
YPR010C,RPA135,10.0
YPR016C,TIF6,2.0
YPR033C,HTS1,4.0
YPR034W,ARP7,3.0
YPR041W,TIF5,19.0
YPR043W,RPL43A,1.0
YPR074C,TKL1,20.0
YPR080W,TEF1,7.0
YPR102C,RPL11A,6.0
YPR110C,RPC40,7.0
YPR112C,MRD1,6.0
YPR118W,MRI1,5.0
YPR137W,RRP9,3.0
YPR143W,RRP15,1.0
YPR145W,ASN1,11.0
YPR163C,TIF3,9.0
YPR187W,RPO26,4.0
YPR190C,RPC82,5.0
YBL092W,RPL32,16.0
YBL087C,RPL23A,1.0
YBL072C,RPS8A,16.0
YBL054W,TOD6,9.0
YBL039C,URA7,13.0
YBL035C,POL12,16.0
YBL027W,RPL19B,18.0
YBL024W,NCL1,10.0
YBR025C,OLA1,16.0
YBR031W,RPL4A,28.0
YBR034C,HMT1,1.0
YBR048W,RPS11B,21.0
YBR079C,RPG1,14.0
YBR084W,MIS1,6.0
YBR084C-A,RPL19A,1.0
YBR106W,PHO88,8.0
YBR118W,TEF2,49.0
YBR121C,GRS1,11.0
YBR142W,MAK5,6.0
YBR143C,SUP45,10.0
YBR154C,RPB5,3.0
YBR181C,RPS6B,17.0
YBR189W,RPS9B,20.0
YBR191W,RPL21A,17.0
YBR238C,-,3.0
YBR247C,ENP1,7.0
YBR249C,ARO4,8.0
YBR252W,DUT1,1.0
YBR267W,REI1,3.0
YBR266C,SLM6,2.0
YCL054W,SPB1,6.0
YCL037C,SRO9,30.0
YCR016W,-,1.0
YCR031C,RPS14A,10.0
YCR034W,ELO2,3.0
YCR035C,RRP43,2.0
YCR053W,THR4,10.0
YCR057C,PWP2,10.0
YCR072C,RSA4,2.0
YDL201W,TRM8,3.0
YDL167C,NRP1,8.0
YDL153C,SAS10,12.0
YDL150W,RPC53,15.0
YDL143W,CCT4,1.0
YDL136W,RPL35B,13.0
YDL084W,SUB2,10.0
YDL083C,RPS16B,15.0
YDL082W,RPL13A,6.0
YDL081C,RPP1A,1.0
YDL075W,RPL31A,3.0
YDL063C,SYO1,1.0
YDL061C,RPS29B,4.0
YDL060W,TSR1,1.0
YDL051W,LHP1,7.0
YDL031W,DBP10,5.0
YDR012W,RPL4B,6.0
YDR023W,SES1,9.0
YDR037W,KRS1,11.0
YDR064W,RPS13,11.0
YDR083W,RRP8,4.0
YDR087C,RRP1,4.0
YDR091C,RLI1,5.0
YDR097C,MSH6,26.0
YDR120C,TRM1,2.0
YDR152W,GIR2,1.0
YDR161W,ACL4,2.0
YDR165W,TRM82,3.0
YDR172W,SUP35,9.0
YDR184C,ATC1,2.0
YDR190C,RVB1,4.0
YDR211W,GCD6,19.0
YDR233C,RTN1,17.0
YDR312W,SSF2,6.0
YDR321W,ASP1,6.0
YDR339C,FCF1,1.0
YDR341C,-,8.0
YDR346C,SVF1,1.0
YDR361C,BCP1,3.0
YDR365C,ESF1,11.0
YDR382W,RPP2B,4.0
YDR385W,EFT2,47.0
YDR398W,UTP5,5.0
YDR412W,RRP17,3.0
YDR418W,RPL12B,14.0
YDR429C,TIF35,8.0
YDR440W,DOT1,4.0
YDR447C,RPS17B,18.0
YDR450W,RPS18A,8.0
YDR454C,GUK1,9.0
YDR465C,RMT2,3.0
YDR471W,RPL27B,14.0
YDR496C,PUF6,3.0
YDR500C,RPL37B,11.0
YEL054C,RPL12A,3.0
YEL040W,UTR2,2.0
YEL026W,SNU13,1.0
YER006W,NUG1,9.0
YER009W,NTF2,2.0
YER025W,GCD11,10.0
YER036C,ARB1,8.0
YER043C,SAH1,17.0
YER049W,TPA1,7.0
YER056C-A,RPL34A,9.0
YER070W,RNR1,14.0
YER074W,RPS24A,15.0
YER110C,KAP123,5.0
YER118C,SHO1,2.0
YER127W,LCP5,4.0
YER131W,RPS26B,8.0
YER165W,PAB1,36.0
YFL045C,SEC53,7.0
YFL023W,BUD27,3.0
YFL022C,FRS2,11.0
YFR001W,LOC1,1.0
YFR031C-A,RPL2A,23.0
YGL213C,SKI8,1.0
YGL189C,RPS26A,4.0
YGL171W,ROK1,1.0
YGL148W,ARO2,7.0
YGL147C,RPL9A,12.0
YGL135W,RPL1B,11.0
YGL123W,RPS2,14.0
YGL120C,PRP43,2.0
YGL103W,RPL28,15.0
YGL099W,LSG1,7.0
YGL097W,SRM1,2.0
YGL076C,RPL7A,15.0
YGL070C,RPB9,3.0
YGL031C,RPL24A,23.0
YGL030W,RPL30,11.0
YGL008C,PMA1,39.0
YGR027C,RPS25A,9.0
YGR034W,RPL26B,12.0
YGR054W,-,14.0
YGR078C,PAC10,1.0
YGR081C,SLX9,1.0
YGR083C,GCD2,6.0
YGR085C,RPL11B,10.0
YGR094W,VAS1,13.0
YGR103W,NOP7,9.0
YGR118W,RPS23A,16.0
YGR124W,ASN2,12.0
YGR128C,UTP8,4.0
YGR145W,ENP2,4.0
YGR148C,RPL24B,7.0
YGR152C,RSR1,9.0
YGR162W,TIF4631,30.0
YGR173W,RBG2,2.0
YGR185C,TYS1,10.0
YGR214W,RPS0A,6.0
YGR229C,SMI1,28.0
YGR245C,SDA1,5.0
YGR251W,NOP19,4.0
YGR264C,MES1,8.0
YGR280C,PXR1,3.0
YGR285C,ZUO1,11.0
YHL039W,EFM1,2.0
YHL033C,RPL8A,14.0
YHL013C,OTU2,2.0
YHL011C,PRS3,3.0
YHL001W,RPL14B,8.0
YHR010W,RPL27A,2.0
YHR019C,DED81,12.0
YHR020W,-,12.0
YHR021C,RPS27B,6.0
YHR025W,THR1,4.0
YHR042W,NCP1,3.0
YHR052W,CIC1,9.0
YHR064C,SSZ1,14.0
YHR065C,RRP3,7.0
YHR066W,SSF1,2.0
YHR068W,DYS1,5.0
YHR088W,RPF1,1.0
YHR089C,GAR1,6.0
YHR128W,FUR1,1.0
YHR133C,NSG1,2.0
YHR141C,RPL42B,6.0
YHR143W-A,RPC10,2.0
YHR170W,NMD3,2.0
YHR193C,EGD2,9.0
YHR196W,UTP9,3.0
YHR197W,RIX1,2.0
YHR203C,RPS4B,24.0
YHR216W,IMD2,1.0
YIL148W,RPL40A,16.0
YIL133C,RPL16A,14.0
YIL127C,RRT14,4.0
YIL104C,SHQ1,2.0
YIL079C,AIR1,3.0
YIL078W,THS1,25.0
YIR012W,SQT1,1.0
YIR026C,YVH1,5.0
